header_key,header_value
file_type_number,130
file_type_name,LC DATA FILE
notebook_name,Pip_1
parent_directory,SYSTEM
date,"18-Feb-26, 09:52:51"
unknown_09BC,GCI
unknown_09E5,LC
method,SPPS_Flow_Method.M
instrument,Asterix ChemStation
version_string,B.06.80 [0006]
unknown_0EDA,Rev. C.01.08 [210]
units,mAU
signal_name,"DAD1D, Sig=380,4  Ref=off"
first_time_ms,37
last_time_ms,120037
scaling_factor,0.000476837158203125
header_size_bytes,6144
decoded_point_count,614
deduced_output_point_count,614
second_time_ms,232.75856443719414
time_step_ms,195.75856443719414
